cosecha,maduracion,saldo,provision,pdponderado,rango_pd,Enalta_Privada,Bex,A,B,C,ConsumoOtros,Pyme,NoBanco,Gremio,Otros,Missing
202201,6,394734945.140000,4539715.9177,0.043268,4. Medio I,0.000104,0.005888,0.000000,0.000000,0.000000,0.000000,0.000000,0.000405,0.000000,0.000000,0.992145
202201,9,324725660.870000,2666742.8298,0.043268,4. Medio I,0.000104,0.005888,0.000000,0.000000,0.000000,0.000000,0.000000,0.000405,0.000000,0.000000,0.992145
202201,27,112945370.310000,1021324.5800,0.043268,4. Medio I,0.000104,0.005888,0.000000,0.000000,0.000000,0.000000,0.000000,0.000405,0.000000,0.000000,0.992145
202201,5,420783509.750000,4028307.8266,0.043268,4. Medio I,0.000104,0.005888,0.000000,0.000000,0.000000,0.000000,0.000000,0.000405,0.000000,0.000000,0.992145
202201,4,445712140.450000,3387684.6122,0.043268,4. Medio I,0.000104,0.005888,0.000000,0.000000,0.000000,0.000000,0.000000,0.000405,0.000000,0.000000,0.992145
202201,0,626454521.520000,6773366.2245,0.043268,4. Medio I,0.000104,0.005888,0.000000,0.000000,0.000000,0.000000,0.000000,0.000405,0.000000,0.000000,0.992145
202201,3,475288721.240000,3037313.3515,0.043268,4. Medio I,0.000104,0.005888,0.000000,0.000000,0.000000,0.000000,0.000000,0.000405,0.000000,0.000000,0.992145
202201,12,271438794.520000,2528227.8600,0.043268,4. Medio I,0.000104,0.005888,0.000000,0.000000,0.000000,0.000000,0.000000,0.000405,0.000000,0.000000,0.992145
202201,26,120582935.390000,1004361.0002,0.043268,4. Medio I,0.000104,0.005888,0.000000,0.000000,0.000000,0.000000,0.000000,0.000405,0.000000,0.000000,0.992145
202201,11,287929969.740000,1951673.7743,0.043268,4. Medio I,0.000104,0.005888,0.000000,0.000000,0.000000,0.000000,0.000000,0.000405,0.000000,0.000000,0.992145
202201,28,105872252.230000,762584.0529,0.043268,4. Medio I,0.000104,0.005888,0.000000,0.000000,0.000000,0.000000,0.000000,0.000405,0.000000,0.000000,0.992145
202201,2,513691807.760000,951039.7674,0.043268,4. Medio I,0.000104,0.005888,0.000000,0.000000,0.000000,0.000000,0.000000,0.000405,0.000000,0.000000,0.992145
202201,14,241504973.420000,3186206.9795,0.043268,4. Medio I,0.000104,0.005888,0.000000,0.000000,0.000000,0.000000,0.000000,0.000405,0.000000,0.000000,0.992145
202201,16,217834598.410000,2301357.2446,0.043268,4. Medio I,0.000104,0.005888,0.000000,0.000000,0.000000,0.000000,0.000000,0.000405,0.000000,0.000000,0.992145
202201,36,58980937.330000,163385.2924,0.043268,4. Medio I,0.000104,0.005888,0.000000,0.000000,0.000000,0.000000,0.000000,0.000405,0.000000,0.000000,0.992145
202201,10,305968708.750000,2511986.6460,0.043268,4. Medio I,0.000104,0.005888,0.000000,0.000000,0.000000,0.000000,0.000000,0.000405,0.000000,0.000000,0.992145
