COSECHA,codmes,producto_f,FLG,SUBP,MADURACION,SALDO
2020,202303,9.PNR Capital de trabajo,1,1,0,25263.05999999999
2020,202303,9.PNR Capital de trabajo,1,2,0,5.445224349999999E7
2020,202304,9.PNR Capital de trabajo,1,1,0,25263.05999999999
2020,202304,9.PNR Capital de trabajo,0,2,0,1.7515915859999987E8
2020,202304,9.PNR Capital de trabajo,1,2,0,7.722738064999999E7
2020,202304,9.PNR Capital de trabajo,0,1,0,1841945.9100000001
2020,202304,9.PNR Capital de trabajo,1,5,0,1.8882447787000012E9
2020,202304,9.PNR Capital de trabajo,0,5,0,8.152678542509995E9
2020,202305,9.PNR Capital de trabajo,0,1,0,1649953.5700000005
2020,202305,9.PNR Capital de trabajo,0,5,0,7.026029839860002E9
2020,202305,9.PNR Capital de trabajo,0,2,0,1.5070720878E8
2020,202305,9.PNR Capital de trabajo,1,5,0,1.5377337E9
2020,202305,9.PNR Capital de trabajo,1,1,0,410656.53000000014
2020,202305,9.PNR Capital de trabajo,1,2,0,6.485151261000003E7
2020,202306,9.PNR Capital de trabajo,0,1,0,1604267.269999999
2020,202306,9.PNR Capital de trabajo,1,2,0,6.457647682000006E7
2020,202306,9.PNR Capital de trabajo,1,5,0,1.4697400326699991E9
2020,202306,9.PNR Capital de trabajo,1,1,0,344897.58
2020,202306,9.PNR Capital de trabajo,0,2,0,1.186380370599999E8
2020,202306,9.PNR Capital de trabajo,0,5,0,6.059904394199995E9
2020,202307,9.PNR Capital de trabajo,1,2,0,6.080720290999998E7
2020,202307,9.PNR Capital de trabajo,0,1,0,1614236.8299999984
2020,202307,9.PNR Capital de trabajo,0,2,0,1.2248198057999994E8
2020,202307,9.PNR Capital de trabajo,1,1,0,235972.4200000001
2020,202307,9.PNR Capital de trabajo,0,5,0,5.385825014110001E9
2020,202307,9.PNR Capital de trabajo,1,5,0,1.3708957734799995E9
2020,202308,9.PNR Capital de trabajo,0,1,0,1766553.8799999994
2020,202308,9.PNR Capital de trabajo,1,1,0,25263.05999999999
2020,202308,9.PNR Capital de trabajo,0,2,0,1.2342367882999994E8
2020,202308,9.PNR Capital de trabajo,0,5,0,5.140902155039998E9
2020,202308,9.PNR Capital de trabajo,1,2,0,3.458854832999999E7
2020,202308,9.PNR Capital de trabajo,1,5,0,1.1334315134600012E9
2020,202309,9.PNR Capital de trabajo,0,5,0,4.633684560599998E9
2020,202309,9.PNR Capital de trabajo,0,2,0,1.1499913986999987E8
2020,202309,9.PNR Capital de trabajo,1,5,0,9.413294763199996E8
2020,202309,9.PNR Capital de trabajo,0,1,0,1456261.37
