COSECHA,codmes,MADURACION,SALDO
202110,202410,36,5116.89
202110,202411,37,0.0
202110,202412,38,0.0
202110,202501,39,0.0
202110,202502,40,0.0
202110,202503,41,0.0
202110,202504,42,0.0
202110,202505,43,0.0
202111,202201,2,1.89775833E7
202111,202202,3,1.9060891440000005E7
202111,202203,4,2.2968501369999997E7
202111,202204,5,1.888327495E7
202111,202205,6,1.4297288849999998E7
202111,202206,7,1.0452696809999999E7
202111,202207,8,7960675.56
202111,202208,9,7098186.92
202111,202209,10,5547942.5200000005
202111,202210,11,3810630.48
202111,202211,12,2774253.91
202111,202212,13,2384685.17
202111,202301,14,1850929.2099999997
202111,202302,15,922642.21
202111,202303,16,876075.33
202111,202304,17,849677.71
202111,202305,18,696476.42
202111,202306,19,380723.97
202111,202307,20,258520.03
202111,202308,21,270466.27
202111,202309,22,204981.46
202111,202310,23,265491.12
202111,202311,24,207516.64
202111,202312,25,192352.49
202111,202401,26,113776.23000000001
202111,202402,27,0.0
202111,202403,28,152784.55
202111,202404,29,0.0
202111,202405,30,105367.3
202111,202406,31,280840.25
202111,202407,32,158905.18
202111,202408,33,187023.59999999998
202111,202409,34,76527.65
202111,202410,35,79836.93000000001
202111,202411,36,179211.8
202111,202412,37,70642.66
202111,202501,38,68640.88
202111,202502,39,66606.85
202111,202503,40,64438.41
202111,202504,41,165155.85
202111,202505,42,162199.25
202112,202201,1,1.3024682459999999E7
202112,202202,2,1.623596643E7
202112,202203,3,1.3319962520000001E7
202112,202204,4,1.553078106E7
202112,202205,5,1.278682768E7
202112,202206,6,1.0275119760000002E7
202112,202207,7,7072565.52
202112,202208,8,6126008.44
202112,202209,9,5319060.17
202112,202210,10,3939053.5499999993
202112,202211,11,2744808.6500000004
202112,202212,12,1855579.3300000003
202112,202301,13,1584159.29
202112,202302,14,883004.48
202112,202303,15,831997.9800000001
202112,202304,16,774022.5699999998
202112,202305,17,327084.28
202112,202306,18,258116.13
202112,202307,19,169846.6
202112,202308,20,149861.71000000002
202112,202309,21,142280.52000000002
202112,202310,22,139151.35
202112,202311,23,39335.47
202112,202312,24,37552.24
202112,202401,25,66175.19
202112,202402,26,58948.42
202112,202403,27,32954.79
202112,202404,28,31345.71
202112,202405,29,30039.86
202112,202406,30,28024.2
202112,202407,31,20339.940000000002
202112,202408,32,24921.18
202112,202409,33,22789.579999999998
202112,202410,34,27223.91
202112,202411,35,19437.809999999998
202112,202412,36,17025.17
202112,202501,37,13248.17
202112,202502,38,13248.17
202112,202503,39,12456.49
202112,202504,40,12055.26
202112,202505,41,12055.26
202201,202201,0,9418408.88
202201,202202,1,1.3831718309999999E7
202201,202203,2,5234955.0600000005
202201,202204,3,1.532701976E7
202201,202205,4,1.4866437120000001E7
202201,202206,5,1.231610112E7
202201,202207,6,9038372.319999998
202201,202208,7,8459549.290000001
202201,202209,8,6783979.579999999
202201,202210,9,4570221.0600000005
202201,202211,10,3661933.3099999996
202201,202212,11,2754084.24
202201,202301,12,1736629.0299999998
202201,202302,13,979870.2999999998
202201,202303,14,735320.35
202201,202304,15,742394.0199999999
202201,202305,16,418671.03
202201,202306,17,293927.24
202201,202307,18,89613.29999999999
202201,202308,19,0.0
202201,202309,20,45274.96
202201,202310,21,20154.32
202201,202311,22,54523.34
202201,202312,23,135149.18
202201,202401,24,127998.29000000001
202201,202402,25,4665.13
202201,202403,26,9901.189999999999
202201,202404,27,13915.68
202201,202405,28,11041.14
202201,202406,29,0.0
202201,202407,30,5100.14
202201,202408,31,4764.61
202201,202409,32,0.0
202201,202410,33,0.0
202201,202411,34,28754.12
202201,202412,35,24134.23
202201,202501,36,19469.07
202201,202502,37,14731.31
202201,202503,38,0.0
202201,202504,39,5109.67
202201,202505,40,0.0
202202,202202,0,1.094304462E7
202202,202203,1,36264.93
202202,202204,2,5160135.33
202202,202205,3,1.3622041450000003E7
202202,202206,4,1.4904707269999998E7
202202,202207,5,1.440476615E7
202202,202208,6,1.088555576E7
202202,202209,7,8959018.809999999
202202,202210,8,7252485.429999999
202202,202211,9,5275280.999999999
202202,202212,10,4615363.42
202202,202301,11,2654124.9399999995
202202,202302,12,1285750.21
202202,202303,13,1623251.61
202202,202304,14,1559363.0000000002
202202,202305,15,1206330.5399999998
202202,202306,16,1023279.5700000001
