COSECHA,codmes,MADURACION,SALDO
202309,202501,16,377793.76999999996
202309,202502,17,170875.24
202309,202503,18,74154.39
202309,202504,19,76565.89
202309,202505,20,65136.37999999999
202310,202310,0,164400.0
202310,202311,1,49045.32000000001
202310,202312,2,1591080.74
202310,202401,3,6032616.640000001
202310,202402,4,7836764.280000001
202310,202403,5,6721520.0600000005
202310,202404,6,5615664.289999999
202310,202405,7,5242940.96
202310,202406,8,4197326.65
202310,202407,9,3062320.78
202310,202408,10,2530924.23
202310,202409,11,1853730.3900000004
202310,202410,12,1244844.8800000006
202310,202411,13,994801.6299999999
202310,202412,14,752775.5100000002
202310,202501,15,544126.52
202310,202502,16,321016.79000000004
202310,202503,17,252790.41999999998
202310,202504,18,140971.61000000002
202310,202505,19,39896.26
202311,202311,0,313200.0
202311,202312,1,200589.58000000002
202311,202401,2,1318050.38
202311,202402,3,4540795.089999999
202311,202403,4,5750808.520000001
202311,202404,5,5437464.22
202311,202405,6,4557817.29
202311,202406,7,3594569.1400000006
202311,202407,8,3312500.28
202311,202408,9,2626272.78
202311,202409,10,1681538.8100000008
202311,202410,11,1400921.7600000002
202311,202411,12,920080.3300000003
202311,202412,13,791793.5
202311,202501,14,640366.3599999999
202311,202502,15,393205.96
202311,202503,16,355582.32999999996
202311,202504,17,296200.98
202311,202505,18,251584.46
202312,202312,0,251856.23
202312,202401,1,294707.05
202312,202402,2,1389014.97
202312,202403,3,5394686.9
202312,202404,4,6101334.15
202312,202405,5,6877565.56
202312,202406,6,4970307.46
202312,202407,7,4140886.7699999996
202312,202408,8,3436588.53
202312,202409,9,3120915.8799999994
202312,202410,10,2662670.970000002
202312,202411,11,1990901.1499999997
202312,202412,12,1437118.4500000007
202312,202501,13,1236939.27
202312,202502,14,1048985.06
202312,202503,15,799154.95
202312,202504,16,472059.26000000007
202312,202505,17,324243.45
202401,202401,0,140400.0
202401,202402,1,330843.63
202401,202403,2,1503913.59
202401,202404,3,4953530.800000001
202401,202405,4,8361307.059999999
202401,202406,5,7230152.44
202401,202407,6,6313919.229999999
202401,202408,7,5181750.7299999995
202401,202409,8,3932725.2400000007
202401,202410,9,3275505.489999999
202401,202411,10,2396912.28
202401,202412,11,1984717.0500000005
202401,202501,12,1359217.6199999999
202401,202502,13,1250249.3699999994
202401,202503,14,901051.4999999999
202401,202504,15,584999.0300000001
202401,202505,16,628584.91
202402,202402,0,94300.0
202402,202403,1,142554.14
202402,202404,2,590988.1200000001
202402,202405,3,4627424.359999999
202402,202406,4,5829082.589999999
202402,202407,5,5943232.6000000015
202402,202408,6,5110501.459999999
202402,202409,7,3703605.880000001
202402,202410,8,3341467.3800000004
202402,202411,9,2765176.850000002
202402,202412,10,2437284.31
202402,202501,11,2045066.0099999993
202402,202502,12,1395186.15
202402,202503,13,1210166.0899999999
202402,202504,14,957116.35
202402,202505,15,688589.28
202403,202403,0,308912.26
202403,202404,1,297437.95
202403,202405,2,2567888.22
202403,202406,3,7354517.84
202403,202407,4,9662358.530000001
202403,202408,5,8828370.17
202403,202409,6,7175231.629999999
202403,202410,7,5672062.830000002
202403,202411,8,4515375.499999999
202403,202412,9,3673798.079999999
202403,202501,10,3053762.6499999994
202403,202502,11,2253825.2500000005
202403,202503,12,1456101.2100000004
202403,202504,13,1196506.97
202403,202505,14,1117516.5999999999
202404,202404,0,208600.0
202404,202405,1,89783.06000000001
202404,202406,2,1343554.54
202404,202407,3,5404714.67
202404,202408,4,9555027.05
202404,202409,5,6953593.61
202404,202410,6,6724873.490000002
202404,202411,7,4726881.6000000015
202404,202412,8,4085651.0700000036
202404,202501,9,3173383.029999998
202404,202502,10,2580294.29
202404,202503,11,1951557.67
202404,202504,12,1316862.8700000003
202404,202505,13,1333040.99
202405,202405,0,33000.0
202405,202406,1,44790.59
202405,202407,2,1803781.84
202405,202408,3,7410539.169999999
202405,202409,4,8408671.72
202405,202410,5,9651063.999999998
202405,202411,6,7056644.429999997
202405,202412,7,6554906.739999997
202405,202501,8,5168860.550000001
202405,202502,9,4274217.690000002
202405,202503,10,2900455.9899999998
202405,202504,11,2751423.42
202405,202505,12,2135153.11
202406,202406,0,48400.0
202406,202408,2,1538373.66
202406,202409,3,5732789.329999997
202406,202410,4,7819874.510000006
202406,202411,5,6634060.099999996
202406,202412,6,6462862.960000004
202406,202501,7,5128383.5
202406,202502,8,3662556.1199999996
202406,202503,9,3377815.2099999953
202406,202504,10,3043413.719999998
202406,202505,11,2903428.2500000005
202407,202407,0,1446580.46
202407,202408,1,2251528.52
202407,202409,2,2157765.0799999996
202407,202410,3,6297381.710000002
202407,202411,4,8013520.7
202407,202412,5,7877517.920000004
202407,202501,6,7059389.159999996
202407,202502,7,5837579.540000002
202407,202503,8,4872566.100000004
202407,202504,9,3785476.3499999996
202407,202505,10,3781669.99
202408,202408,0,30927.26
202408,202409,1,174174.09
202408,202410,2,933218.0
202408,202411,3,4332615.229999999
202408,202412,4,6454424.480000003
202408,202501,5,6298805.660000002
202408,202502,6,5344121.47
202408,202503,7,4104163.599999999
202408,202504,8,3533276.89
202408,202505,9,3208754.32
202409,202409,0,31900.0
202409,202410,1,136208.18
202409,202411,2,1070767.28
202409,202412,3,4439648.340000003
202409,202501,4,7511716.200000001
202409,202502,5,6676035.099999998
202409,202503,6,5681546.720000001
202409,202504,7,4544415.270000002
202409,202505,8,4597608.21
202410,202410,0,468116.95
202410,202411,1,386281.5899999999
202410,202412,2,1218362.3900000001
202410,202501,3,6076910.940000003
202410,202502,4,8042064.910000002
202410,202503,5,7764920.510000004
202410,202504,6,7354643.950000002
202410,202505,7,7469051.639999999
202411,202411,0,201000.0
202411,202412,1,224108.28
202411,202501,2,1268911.74
202411,202502,3,3786564.390000001
202411,202503,4,5834460.25
202411,202504,5,6208912.320000001
202411,202505,6,6827442.510000001
202412,202412,0,126500.0
202412,202501,1,220365.99
202412,202502,2,914295.0899999997
202412,202503,3,4198360.299999998
202412,202504,4,6963577.999999999
202412,202505,5,6957341.989999999
202501,202501,0,333000.0
202501,202502,1,362015.79
202501,202503,2,758770.6799999999
202501,202504,3,3653874.040000001
202501,202505,4,7393289.27
202502,202502,0,37900.0
202502,202503,1,18935.47
202502,202504,2,264191.12999999995
202502,202505,3,4658487.649999999
202503,202503,0,11000.0
202503,202504,1,38704.83
202503,202505,2,1295202.8399999999
202504,202504,0,3300.0
202504,202505,1,29594.6
202505,202505,0,81000.0
