cosecha;codmes;maduracion;saldo_inicial;provisionporc;pdponderado;rango_pd;porcentajeacum;REAL;acumulado30;PRIMERA PARTE;SEGUNDA PARTE;TERCERA;PROYECTADO
202201;202509;44;626454521.52;0.00;0.04;4. Medio I;0.11;66420467.10;0.10;0.04;0.06;0.05;31782935.14
202202;202202;0;792751603.85;0.01;0.05;4. Medio I;0.01;8000449.19;0.12;0.01;0.01;0.01;7927516.04
202202;202203;1;792751603.85;0.00;0.05;4. Medio I;0.01;7577119.83;0.12;0.01;0.01;0.01;7134764.43
202202;202204;2;792751603.85;0.00;0.05;4. Medio I;0.01;9015171.24;0.12;0.01;0.01;0.01;8667154.06
202202;202205;3;792751603.85;0.01;0.05;4. Medio I;0.02;13104976.76;0.12;0.01;0.01;0.01;10180845.41
202202;202206;4;792751603.85;0.01;0.05;4. Medio I;0.02;18014487.45;0.12;0.01;0.01;0.01;11680436.56
202202;202207;5;792751603.85;0.01;0.05;4. Medio I;0.03;22915277.86;0.12;0.02;0.02;0.02;13165927.49
202202;202208;6;792751603.85;0.01;0.05;4. Medio I;0.04;28750722.42;0.12;0.02;0.02;0.02;14637318.22
202202;202209;7;792751603.85;0.00;0.05;4. Medio I;0.04;31951853.39;0.12;0.02;0.02;0.02;16094608.74
202202;202210;8;792751603.85;0.01;0.05;4. Medio I;0.05;36509382.36;0.12;0.02;0.02;0.02;17537799.05
202202;202211;9;792751603.85;0.00;0.05;4. Medio I;0.05;40281294.49;0.12;0.02;0.02;0.02;18966889.15
202202;202212;10;792751603.85;0.00;0.05;4. Medio I;0.06;44027045.82;0.12;0.03;0.03;0.03;20381879.05
202202;202301;11;792751603.85;0.01;0.05;4. Medio I;0.06;48097825.31;0.12;0.03;0.03;0.03;21782768.73
202202;202302;12;792751603.85;0.00;0.05;4. Medio I;0.06;51302920.04;0.12;0.03;0.03;0.03;23169558.21
202202;202303;13;792751603.85;0.01;0.05;4. Medio I;0.07;55318999.67;0.12;0.03;0.03;0.03;24542247.47
202202;202304;14;792751603.85;0.01;0.05;4. Medio I;0.08;59599858.33;0.12;0.03;0.03;0.03;25900836.53
202202;202305;15;792751603.85;0.00;0.05;4. Medio I;0.08;63202914.37;0.12;0.03;0.03;0.03;27245325.38
202202;202306;16;792751603.85;0.01;0.05;4. Medio I;0.08;67207895.47;0.12;0.04;0.04;0.04;28575714.02
202202;202307;17;792751603.85;0.00;0.05;4. Medio I;0.09;71061461.02;0.12;0.04;0.04;0.04;35213197.46
202202;202308;18;792751603.85;0.00;0.05;4. Medio I;0.09;73793283.04;0.12;0.04;0.05;0.05;35991703.61
202202;202309;19;792751603.85;0.00;0.05;4. Medio I;0.10;75798944.60;0.12;0.04;0.05;0.05;36709137.38
202202;202310;20;792751603.85;0.00;0.05;4. Medio I;0.10;78399962.61;0.12;0.04;0.05;0.05;37374387.69
202202;202311;21;792751603.85;0.00;0.05;4. Medio I;0.10;80484106.58;0.12;0.04;0.05;0.05;37994533.80
202202;202312;22;792751603.85;0.00;0.05;4. Medio I;0.10;82357378.62;0.12;0.05;0.05;0.05;38575305.44
202202;202401;23;792751603.85;0.00;0.05;4. Medio I;0.11;84352734.41;0.12;0.05;0.05;0.05;39121405.45
202202;202402;24;792751603.85;0.00;0.05;4. Medio I;0.11;85912869.56;0.12;0.05;0.05;0.05;39636741.39
202202;202403;25;792751603.85;0.00;0.05;4. Medio I;0.11;87434159.89;0.12;0.05;0.05;0.05;40124595.31
202202;202404;26;792751603.85;0.00;0.05;4. Medio I;0.11;88924532.91;0.12;0.05;0.05;0.05;40587750.56
202202;202405;27;792751603.85;0.00;0.05;4. Medio I;0.11;90236536.81;0.12;0.05;0.05;0.05;41028587.93
202202;202406;28;792751603.85;0.00;0.05;4. Medio I;0.12;91570737.76;0.12;0.05;0.05;0.05;41449159.75
202202;202407;29;792751603.85;0.00;0.05;4. Medio I;0.12;91982175.84;0.12;0.06;0.05;0.05;41851247.66
202202;202408;30;792751603.85;0.00;0.05;4. Medio I;0.12;92727362.35;0.12;0.06;0.05;0.05;41851247.66
202202;202409;31;792751603.85;0.00;0.05;4. Medio I;0.12;93321133.30;0.12;0.06;0.05;0.05;41851247.66
202202;202410;32;792751603.85;0.00;0.05;4. Medio I;0.12;93863375.40;0.12;0.06;0.05;0.05;41851247.66
202202;202411;33;792751603.85;0.00;0.05;4. Medio I;0.12;94339819.11;0.12;0.06;0.05;0.05;41851247.66
202202;202412;34;792751603.85;0.00;0.05;4. Medio I;0.12;94866998.93;0.12;0.06;0.06;0.05;41851247.66
202202;202501;35;792751603.85;0.00;0.05;4. Medio I;0.12;95242763.19;0.12;0.06;0.06;0.05;41851247.66
202202;202502;36;792751603.85;0.00;0.05;4. Medio I;0.12;95452049.61;0.12;0.07;0.06;0.05;41851247.66
202202;202503;37;792751603.85;0.00;0.05;4. Medio I;0.12;95566205.84;0.12;0.07;0.06;0.05;41851247.66
202202;202504;38;792751603.85;0.00;0.05;4. Medio I;0.12;95926907.82;0.12;0.07;0.06;0.05;41851247.66
202202;202505;39;792751603.85;0.00;0.05;4. Medio I;0.12;96091800.16;0.12;0.07;0.06;0.05;41851247.66
202202;202506;40;792751603.85;0.00;0.05;4. Medio I;0.12;96343895.17;0.12;0.07;0.06;0.05;41851247.66
202202;202507;41;792751603.85;0.00;0.05;4. Medio I;0.12;96416828.32;0.12;0.07;0.06;0.05;41851247.66
202202;202508;42;792751603.85;0.00;0.05;4. Medio I;0.12;96444574.62;0.12;0.07;0.06;0.05;41851247.66
202202;202509;43;792751603.85;0.00;0.05;4. Medio I;0.12;96322490.87;0.12;0.07;0.06;0.05;41851247.66
202203;202203;0;845516664.77;0.01;0.05;4. Medio I;0.01;8653863.06;0.12;0.01;0.01;0.01;8455166.65
202203;202204;1;845516664.77;0.00;0.05;4. Medio I;0.01;7975758.70;0.12;0.01;0.01;0.01;7609649.98
202203;202205;2;845516664.77;0.00;0.05;4. Medio I;0.01;9643117.56;0.12;0.01;0.01;0.01;9932090.55
202203;202206;3;845516664.77;0.01;0.05;4. Medio I;0.02;14523439.75;0.12;0.01;0.01;0.01;10963755.08
202203;202207;4;845516664.77;0.01;0.05;4. Medio I;0.02;19852731.29;0.12;0.01;0.01;0.01;12044054.48
202203;202208;5;845516664.77;0.01;0.05;4. Medio I;0.03;26313324.12;0.12;0.02;0.02;0.02;13172988.74
202203;202209;6;845516664.77;0.01;0.05;4. Medio I;0.04;31830320.36;0.12;0.02;0.02;0.02;14350557.86
202203;202210;7;845516664.77;0.01;0.05;4. Medio I;0.04;37502891.67;0.12;0.02;0.02;0.02;15576761.85
202203;202211;8;845516664.77;0.01;0.05;4. Medio I;0.05;42903206.60;0.12;0.02;0.02;0.02;16851600.70
202203;202212;9;845516664.77;0.01;0.05;4. Medio I;0.06;48411747.67;0.12;0.02;0.02;0.02;18175074.41
202203;202301;10;845516664.77;0.01;0.05;4. Medio I;0.06;53719901.30;0.12;0.02;0.02;0.02;19547182.99
202203;202302;11;845516664.77;0.01;0.05;4. Medio I;0.07;58039645.94;0.12;0.02;0.02;0.02;20967926.43
202203;202303;12;845516664.77;0.01;0.05;4. Medio I;0.07;62427031.91;0.12;0.03;0.03;0.03;22437304.73
202203;202304;13;845516664.77;0.01;0.05;4. Medio I;0.08;66830482.70;0.12;0.03;0.03;0.03;23955317.90
202203;202305;14;845516664.77;0.01;0.05;4. Medio I;0.08;71354842.37;0.12;0.03;0.03;0.03;25521965.93
202203;202306;15;845516664.77;0.01;0.05;4. Medio I;0.09;75975590.95;0.12;0.03;0.03;0.03;27137248.82
202203;202307;16;845516664.77;0.00;0.05;4. Medio I;0.09;79572418.84;0.12;0.03;0.03;0.03;28801166.58
202203;202308;17;845516664.77;0.00;0.05;4. Medio I;0.10;82569775.41;0.12;0.04;0.05;0.05;38272176.45
202203;202309;18;845516664.77;0.00;0.05;4. Medio I;0.10;84607470.58;0.12;0.04;0.05;0.05;39171349.81
202203;202310;19;845516664.77;0.00;0.05;4. Medio I;0.10;87311432.87;0.12;0.04;0.05;0.05;40000057.72
